,totalLatency,totalLatency
10,0.648304856,1.678735602
11,0.648230191,1.679567397
12,0.606065609,1.437455368
13,-0.354465227,1.747426176
14,0.610284546,1.698363221
15,0.648230191,1.638221395
16,0.603605406,19.35092163
17,0.632835465,19.72297767
18,0.646031732,19.70815092
19,0.607607716,19.58109074
0,0.606065609,4.290109062
1,0.6340355,5.160132706
2,0.610284546,4.595451963
3,0.648230191,4.545852423
4,0.606065609,2.36841346
5,0.6340355,3.219379807
6,0.610284546,2.630330122
7,0.648230191,2.571178722
8,0.606065609,15.17503359
9,0.6340355,15.94369017
10,0.648304856,15.49553775
11,0.648230191,15.51556844
12,0.606065609,3.356533051
13,0.597088279,3.708811378
14,0.650081599,3.935690355
15,0.648230191,3.602133465
16,0.606065609,3.000087452
17,0.597088279,3.350680673
18,0.650081599,3.593141711
19,0.648230191,3.245675111
20,0.606065609,2.375023186
21,0.597088279,2.739698291
22,0.610284546,2.561382747
23,0.648230191,2.509577334
0,0.606065609,2.98498199
1,0.597088279,3.313673711
2,0.648304856,3.21274246
3,0.648230191,3.215611994
4,0.606065609,2.751624978
5,-0.354465227,3.071523333
6,0.610284546,3.036185253
7,0.648230191,3.007574666
8,0.606065609,4.416744614
9,-0.354465227,4.733414495
10,0.648304856,4.750468326
11,0.648230191,4.773378539
12,0.606065609,3.486823654
13,-0.354465227,3.809595263
14,0.648304856,3.797255135
15,0.648230191,3.80595752
16,0.603605406,1.289246821
17,0.632835465,1.70819993
18,0.646031732,1.649377882
19,0.607607716,1.504536235
20,0.603605406,1.272779274
21,0.632835465,1.70329715
22,0.607682382,1.54004817
23,0.607607716,1.446643567
24,0.603605406,1.362124455
25,0.632835465,1.769691098
26,0.607682382,1.595512116
27,0.607607716,1.503019381
28,0.603605406,1.326311731
29,-0.395087701,1.51781143
30,0.646031732,1.650762224
31,0.607607716,1.526458025
32,0.603605406,1.277503896
33,-0.395087701,1.47100265
34,0.646031732,1.507275355
35,0.607607716,1.387284875
36,0.603605406,1.236740267
37,-0.395087701,1.431356978
38,0.607682382,1.352954388
39,0.607607716,1.25729183
0,0.606065609,1.50660975
1,0.597088279,1.815550995
2,0.610284546,1.669496787
3,0.648230191,1.613684309
4,0.606065609,2.451002419
5,0.597088279,2.773935425
6,0.648304856,2.664746702
7,0.648230191,2.67271719
8,0.606065609,1.670597291
9,0.597088279,2.003200829
10,0.648304856,1.884347534
11,0.648230191,1.866868436
12,0.606065609,2.553818882
13,-0.354465227,2.874428964
14,0.610284546,2.825546408
15,0.648230191,2.800644517
16,0.606065609,1.558681738
17,-0.354465227,1.854841495
18,0.610284546,1.797814727
19,0.648230191,1.75450443
20,0.606065609,3.099264097
21,-0.354465227,3.432795823
22,0.648304856,3.430855393
23,0.648230191,3.428840923
24,0.603605406,1.282449329
25,0.632835465,1.728349066
26,0.646031732,1.722902906
27,0.607607716,1.58082931
28,0.603605406,1.307021904
29,0.632835465,1.69999392
30,0.646031732,1.683035088
31,0.607607716,1.543550658
32,0.603605406,1.271632814
33,0.632835465,1.712546384
34,0.607682382,1.544409001
35,0.607607716,1.440927768
36,0.603605406,1.259698653
37,-0.395087701,1.506706917
38,0.646031732,1.544071198
39,0.607607716,1.430913413
0,0.606065609,1.51592046
1,0.597088279,1.770273101
2,0.610284546,1.653723812
3,0.648230191,1.616947889
4,0.606065609,2.343088794
5,0.597088279,2.611822093
6,0.648304856,2.573095477
7,0.648230191,2.576047516
8,0.606065609,2.096917868
9,-0.354465227,2.428126872
10,0.610284546,2.353252411
11,0.648230191,2.314222741
12,0.603605406,2.907352388
13,0.632835465,3.352290297
14,0.646031732,3.330869615
15,0.607607716,3.207409799
0,0.606065609,1.58920871
1,0.597088279,1.890413415
2,0.610284546,1.736692476
3,0.648230191,1.713334489
0,0.606065609,1.645041049
1,0.597088279,1.932358801
2,0.610284546,1.783296883
3,0.648230191,1.753824174
4,0.606065609,3.331494629
5,0.597088279,3.665754521
6,0.648304856,3.560203588
7,0.648230191,3.570341861
8,0.606065609,3.03657186
9,-0.354465227,3.434188592
10,0.610284546,3.314473403
11,0.648230191,3.290246797
12,0.603605406,1.291568315
13,0.632835465,1.645056188
14,0.646031732,1.621973205
15,0.607607716,1.505199146
0,0.606065609,2.34875468
1,0.597088279,2.668077707
2,0.610284546,2.514792967
3,0.648230191,2.460793328
0,0.606065609,1.707277286
1,0.597088279,1.962610686
2,0.610284546,1.84423213
3,0.648230191,1.833341694
0,0.606065609,3.598813176
1,0.597088279,3.962492871
2,0.648304856,3.830249274
3,0.648230191,3.851487923
4,0.606065609,3.244123638
5,-0.354465227,3.568946135
6,0.610284546,3.544089842
7,0.648230191,3.493184018
8,0.606065609,5.575583386
9,-0.354465227,5.917695403
10,0.648304856,5.955344224
11,0.648230191,5.989241004
12,0.606065609,5.347559214
13,-0.354465227,5.681834888
14,0.648304856,5.700648761
15,0.648230191,5.727569842
16,0.603605406,1.29175266
17,0.632835465,1.709000623
18,0.646031732,1.685828066
19,0.607607716,1.542950749
20,0.603605406,1.241987681
21,0.632835465,1.696634316
22,0.607682382,1.439608014
23,0.607607716,1.347887933
24,0.603605406,1.33478179
25,0.632835465,1.743994606
26,0.607682382,1.543490803
27,0.607607716,1.450618088
28,0.603605406,1.257480335
29,-0.395087701,1.447862148
